时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-01-10 11:19:03","接入","04-B1-67-67-04-E6","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.45","04-B1-67-67-04-E6","BJAP02","Beijing","Brenntag-Guest","192","默认角色","MiNote3-xiaomis","安卓移动终端","Xiaomi Communications Co Ltd"
="2019-01-10 11:19:07","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.36","14-BD-61-D5-AC-F5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:10","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.36","14-BD-61-D5-AC-F5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:15","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.34","48-43-7C-61-7A-F1","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:33","接入","48-43-7C-58-97-31","/PSK认证组/","本地用户","WPA-PSK(个人)","-","48-43-7C-58-97-31","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:33","接入","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK(个人)","-","BC-9F-EF-D4-76-59","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:34","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","-","38-53-9C-F1-1D-3C","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:35","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.51","B8-C1-11-08-32-BC","BJAP03","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:35","接入","38-37-8B-49-B8-63","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.37","38-37-8B-49-B8-63","BJAP03","Beijing","Brenntag-Guest","192","默认角色","HUAWEI_Mate_10_","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:19:41","接入","94-E9-6A-47-AF-AF","/PSK认证组/","本地用户","WPA-PSK(个人)","-","94-E9-6A-47-AF-AF","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:41","接入","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.39","BC-9F-EF-D4-76-59","BJAP03","Beijing","Brenntag-Guest","192","默认角色","liminghdeiPhone","苹果移动终端","Apple, Inc."
